Mes,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Enero,83.155736,164.75655235,194.74401661,209.45040339,248.90390329,287.1009181,314.60669801,290.24034415,246.12931479,283.34813373,305.09051205,357.87216645,394.19308654,407.43394218,481.9613821,587.63411648,634.58183617,688.07639308,834.61043289,906.80484769,1180.74439983,1386.49193275,1468.02710599,1817.55502043,1954.70729374
Febrero,96.65938992,144.74341415,183.7388576,203.78703773,254.79453621,271.94409605,318.30697029,281.95138419,274.51270028,304.62123577,350.38738663,351.16908054,383.93966138,431.97986052,558.03786808,613.90153212,630.10269822,690.4994854,808.02535327,942.89661403,1262.67215211,1381.09421886,1527.94022471,1821.35887328,1893.86996263
Marzo,109.03373626,160.77810742,227.89544652,246.46605835,288.96624071,327.63921878,340.45948138,344.14557746,369.95328435,384.12037402,402.12756547,424.05323337,459.22911676,556.47649176,622.98551834,739.81695575,754.48514716,826.71372495,746.78466477,1285.5602144,1493.13897766,1665.83255467,1686.62966896,2003.74111588,2441.79954669
Abril,139.21199062,181.08733105,204.01319284,253.08694445,284.44017464,333.62505072,385.2524367,339.68730909,344.40891494,371.28660344,418.96811091,451.24121983,490.68317756,503.84890321,609.31180404,639.88120731,769.94735615,865.15677276,690.76906557,1231.69119584,1516.10207214,1551.3691643,1848.05780828,1984.60764592,
Mayo,89.75173543,187.37633512,210.78039094,274.28123586,361.39108129,392.93645909,397.98287938,332.60333335,357.01719761,415.32470837,451.55801225,476.9903166,494.05875022,518.95284523,625.30036114,747.42588606,808.54626398,974.46595459,836.76095615,1236.68549555,1592.50759367,1811.86378899,1980.07862936,2281.07940364,
Junio,127.97632202,161.49457098,212.12976728,261.104397,310.0966198,356.47311421,384.33178595,348.57779808,394.28971469,416.38844797,432.67484698,417.19505493,481.8571381,536.30269231,614.66185832,723.70577759,801.41933651,882.01737847,963.2990283,1362.51124515,1666.22497418,1861.32726896,1760.62586469,2219.31234658,
Julio,136.5253673,191.95433002,206.61292897,245.80724609,302.88490802,381.15177854,409.66713542,365.55103039,384.6124196,349.82945241,422.08883422,445.75842481,509.73009506,573.71450826,536.12473449,664.18752864,818.34900723,947.82924086,1078.72225707,1354.32758087,1370.02787149,1642.85104162,1819.00469032,2366.03508893,
Agosto,162.30789909,178.913196,212.78174092,241.92393525,332.94213971,381.41067865,373.53623497,337.44940736,377.35828583,409.55840635,441.40116588,456.3387284,476.79276972,527.34013216,619.22540356,707.84162728,860.42725609,980.57046684,1050.16113598,1388.59089186,1642.65129023,1773.35057198,2020.55174709,2368.01464865,
Septiembre,157.33877349,176.55096655,211.77724897,241.58354473,293.00504496,326.75122771,371.835978,332.10366996,359.31046484,364.78267446,365.79779595,420.68434059,458.77631259,538.35309163,607.66522529,672.93940694,745.97502959,892.29349025,1051.25483567,1299.32490294,1597.20635805,1699.45975833,1724.07201823,2106.68985382,
Octubre,176.26081158,189.88092104,218.02659243,278.1504812,338.40660967,391.16988283,367.72773959,327.52311436,339.37406288,356.8046037,415.44652346,480.04429443,500.5330519,583.76365221,605.94038514,728.27302051,863.52137702,999.95741522,1132.9594406,1418.50235541,1622.43284905,1650.73471453,2000.41159098,2389.97233097,
Noviembre,142.97583383,173.37562742,236.70771818,265.60739887,294.65141506,340.79760367,311.68539059,287.92833854,331.38460315,343.49922623,367.95544125,376.5892308,398.28316496,508.66471037,600.3411633,646.30107204,757.07973435,819.92517225,983.43680317,1356.62928068,1454.97992404,1614.58481649,1733.97106179,1930.55116111,
Diciembre,158.19428127,195.59340134,231.41520595,271.57401395,299.33057251,337.40758894,339.33788537,324.52545911,348.43310358,378.4680938,409.23248718,447.25288475,496.02124641,598.14698714,678.41185828,720.30493932,843.33568562,940.80191642,1163.63162113,1512.16059392,1641.63262223,1765.04222041,1940.81593345,2241.31475241,
